DATE,Quarter,POILWTIUSDQ,Saudi Production Change,WTI Production Change,y-o-y % OECD Consumption Change,non-OPEC Production change,WTI Real Price (GDP Deflated),non-OECD Consumption Growth,non-OECD GDP growth,Ecuador,Iraq,"Venezuela, RB",Saudi Arabia,Russian Federation,WTI Futures Price,Brent Futures Price,Dates
2008.00,1.00,97.91,0.55,68.5,-1.65,0.02,100.51,4.6,7.95,63800000000,1.18E+11,3.98E+11,4.90E+11,1.52E+12,91.75,92.21,2008
2008.00,2.00,124.07,0.72,90.52,-1.93,-0.03,126.64,5,7.26,64700000000,1.21E+11,4.04E+11,4.98E+11,1.53E+12,113.46,111.36,2008.25
2008.00,3.00,118.33,0.9,57.25,-4.77,-0.12,120.11,4.78,6.25,65700000000,1.23E+11,4.10E+11,5.05E+11,1.55E+12,124.08,123.98,2008.5
2009.00,4.00,58.14,-0.02,-35.22,-5.45,-0.01,59.43,-0.13,3.35,66800000000,1.26E+11,4.12E+11,5.13E+11,1.58E+12,67.81,65.32,2008.75
2009.00,1.00,42.89,-1.13,-55.91,-4.68,0.32,43.66,-1.36,0.58,66900000000,1.27E+11,4.08E+11,5.09E+11,1.56E+12,41.68,45.88,2009
2009.00,2.00,59.59,-1.19,-51.84,-5.74,0.61,60.39,2.29,1.09,66900000000,1.28E+11,4.04E+11,5.06E+11,1.55E+12,51.12,50.8,2009.25
2009.00,3.00,68.22,-1.17,-42.45,-3.34,1.42,68.94,4.04,2.5,67000000000,1.29E+11,4.00E+11,5.02E+11,1.53E+12,69.45,71.7,2009.5
2010.00,4.00,76.11,-0.68,29.51,-2.57,1.43,76.67,6.98,4.75,67200000000,1.30E+11,3.99E+11,5.03E+11,1.46E+12,77,75.2,2009.75
2010.00,1.00,78.65,0.3,82.68,-1.08,1.86,79.32,6.88,7.81,67900000000,1.32E+11,3.97E+11,5.10E+11,1.47E+12,72.89,71.46,2010
2010.00,2.00,77.86,0.73,30.55,1.79,2.13,77.98,5.19,7.75,68500000000,1.34E+11,3.96E+11,5.16E+11,1.49E+12,86.15,87.44,2010.25
2010.00,3.00,76.01,0.9,11.74,3.71,1.75,75.95,3.88,7.06,69200000000,1.36E+11,3.94E+11,5.23E+11,1.50E+12,78.95,78.18,2010.5
2011.00,4.00,85.1,0.63,12.14,1.88,1.81,84.63,6.26,7.13,69600000000,1.39E+11,3.93E+11,5.28E+11,1.52E+12,81.43,83.15,2010.75
2011.00,1.00,93.93,0.67,19.36,0.26,0.98,92.94,4.43,6.74,70900000000,1.42E+11,3.97E+11,5.44E+11,1.54E+12,92.19,101.01,2011
2011.00,2.00,102.52,0.27,31.11,-1.96,0.22,100.08,2.59,6.14,72400000000,1.45E+11,4.01E+11,5.60E+11,1.55E+12,113.93,125.89,2011.25
2011.00,3.00,89.71,0.5,17.65,-1.3,0.39,87.3,2.74,5.87,73800000000,1.48E+11,4.05E+11,5.77E+11,1.57E+12,95.7,116.74,2011.5
2012.00,4.00,94.03,0.8,10.4,-2.02,0.39,91.64,2.61,5.23,75000000000,1.49E+11,4.10E+11,5.81E+11,1.59E+12,93.19,109.56,2011.75
2012.00,1.00,102.85,0.9,9.43,-1.43,0.79,99.65,3.58,5.23,76200000000,1.53E+11,4.16E+11,5.90E+11,1.61E+12,98.48,110.98,2012
2012.00,2.00,93.38,0.72,-8.56,0.42,0.57,89.94,3.55,4.96,77300000000,1.58E+11,4.22E+11,5.99E+11,1.62E+12,104.87,119.47,2012.25
2012.00,3.00,92.2,0.1,2.99,-1.95,0.36,88.32,4.36,5.02,78500000000,1.63E+11,4.29E+11,6.08E+11,1.64E+12,88.06,104.92,2012.5
2012.00,4.00,88.13,-0.21,-6.46,-0.63,1.1,83.97,5.15,5.19,79300000000,1.70E+11,4.33E+11,6.12E+11,1.65E+12,86.24,108.7,2012.75
2013.00,1.00,94.36,-0.83,-8.37,-0.97,0.66,89.65,4.92,4.57,80500000000,1.73E+11,4.34E+11,6.16E+11,1.66E+12,97.49,115.55,2013
2013.00,2.00,94.18,-0.25,0.82,0.32,1.67,89.11,4.01,4.81,81700000000,1.77E+11,4.36E+11,6.21E+11,1.67E+12,93.46,102.37,2013.25
2013.00,3.00,105.8,0.2,14.82,0.87,2.47,99.73,3.07,4.69,82900000000,1.80E+11,4.37E+11,6.25E+11,1.67E+12,105.03,107.7,2013.5
2013.00,4.00,97.41,0.31,10.78,0.46,2,91.37,1.55,4.47,83200000000,1.83E+11,4.38E+11,6.29E+11,1.68E+12,96.38,108.84,2013.75
2014.00,1.00,98.76,0.7,4.61,0.18,2.38,92.11,2.52,4.07,84000000000,1.83E+11,4.34E+11,6.35E+11,1.68E+12,97.49,106.4,2014
2014.00,2.00,103.14,0.05,9.89,-1.56,2.67,95.93,4.47,3.94,84900000000,1.83E+11,4.29E+11,6.42E+11,1.68E+12,99.74,108.07,2014.25
2014.00,3.00,97.57,-0.4,-7.52,-0.8,2.43,90.43,3.79,3.76,85700000000,1.83E+11,4.25E+11,6.48E+11,1.68E+12,98.17,106.02,2014.5
2014.00,4.00,73.07,-0.17,-24.91,-0.24,2.84,67.61,3.29,3.68,86300000000,1.84E+11,4.21E+11,6.52E+11,1.69E+12,80.54,85.86,2014.75
2015.00,1.00,48.7,0.01,-50.87,1.86,2.5,44.77,1.79,3.48,86300000000,1.85E+11,4.13E+11,6.58E+11,1.68E+12,48.24,52.99,2015
2015.00,2.00,57.76,0.63,-44.02,1.93,1.69,53.12,2.73,3.21,86400000000,1.86E+11,4.04E+11,6.64E+11,1.67E+12,59.63,66.78,2015.25
2015.00,3.00,46.5,0.59,-52.43,2.43,1.55,42.61,3.38,3.19,86400000000,1.87E+11,3.96E+11,6.70E+11,1.66E+12,47.12,52.21,2015.5
2015.00,4.00,42.03,0.5,-42.72,0.42,0.56,38.39,3.04,3.1,86400000000,1.88E+11,3.95E+11,6.79E+11,1.65E+12,46.59,49.56,2015.75
2016.00,1.00,33.28,0.4,-31.21,0.3,0.09,30.55,2.97,3.59,86200000000,1.96E+11,3.75E+11,6.80E+11,1.65E+12,33.62,34.74,2016
2016.00,2.00,45.52,0.05,-21.42,0.92,-0.82,41.37,1.64,3.74,85900000000,2.03E+11,3.56E+11,6.80E+11,1.65E+12,45.92,48.13,2016.25
2016.00,3.00,44.94,0.31,-3.66,0.64,-1.1,40.67,0.45,3.73,85600000000,2.11E+11,3.39E+11,6.81E+11,1.65E+12,41.6,42.46,2016.5
2016.00,4.00,49.17,0.42,17.27,1.81,-0.44,44.36,0.62,3.87,85400000000,2.17E+11,3.28E+11,6.82E+11,1.66E+12,46.86,48.3,2016.75
2017.00,1.00,51.85,-0.22,54.82,0.21,-0.11,46.36,2.15,3.88,85900000000,2.16E+11,3.12E+11,6.82E+11,1.66E+12,52.81,55.7,2017
2017.00,2.00,48.3,-0.24,5.92,2.07,0.73,43.09,3.09,3.79,86400000000,2.14E+11,2.96E+11,6.83E+11,1.67E+12,49.33,51.73,2017.25
2017.00,3.00,48.14,-0.42,7.37,0.65,0.95,42.84,3.33,3.88,86900000000,2.13E+11,2.81E+11,6.84E+11,1.67E+12,50.17,52.65,2017.5
2017.00,4.00,55.41,-0.43,12.37,1.23,0.91,48.86,3.32,3.74,87400000000,2.12E+11,2.76E+11,6.85E+11,1.68E+12,54.38,61.37,2017.75
2018.00,1.00,62.86,0.13,21.82,1.97,1.65,55.29,2.63,3.84,87600000000,2.12E+11,2.62E+11,6.90E+11,1.69E+12,64.73,69.05,2018
2018.00,2.00,67.91,0.11,41.36,0.04,2.49,59.36,1.56,3.64,87700000000,2.12E+11,2.49E+11,6.95E+11,1.69E+12,68.57,75.17,2018.25
2018.00,3.00,69.72,0.3,44.71,0.9,3.43,60.47,1.56,3.28,87900000000,2.12E+11,2.37E+11,6.99E+11,1.70E+12,68.76,74.25,2018.5
2018.00,4.00,58.65,0.62,7.83,-0.81,3.5,51.5,2.08,3.13,88600000000,2.11E+11,2.22E+11,7.02E+11,1.72E+12,65.31,75.47,2018.75
2019.00,1.00,54.83,-0.11,-12.84,-0.86,2.47,47.25,2.11,2.39,91200000000,2.19E+11,1.78E+11,7.23E+11,1.71E+12,53.79,61.89,2019
2019.00,2.00,59.76,-0.28,-11.93,-0.79,2.14,51.36,1.71,2.2,94000000000,2.28E+11,1.42E+11,7.45E+11,1.69E+12,63.91,72.8,2019.25
2019.00,3.00,56.4,-1.1,-19.14,-0.41,1.45,48.06,2.04,2.11,96800000000,2.37E+11,1.14E+11,7.67E+11,1.68E+12,58.58,65.17,2019.5
2019.00,4.00,56.98,-0.9,-4.58,-0.11,1.65,48.33,2.08,2.1,1.08E+11,2.47E+11,98400000000,7.87E+11,1.67E+12,54.18,60.23,2019.75
